,imgpath,labels,encoded_labels
0,./pretrain_2048_2/SC-01-0163.svs_15.png,pretrain,0
1,./pretrain_2048_2/SC-01-0359.svs_8.png,pretrain,0
2,./pretrain_2048_2/SC-01-0408.svs_33.png,pretrain,0
3,./pretrain_2048_2/SC-01-0295.svs_17.png,pretrain,0
4,./pretrain_2048_2/SC-01-0286.svs_14.png,pretrain,0
5,./pretrain_2048_2/SC-01-0379.svs_12.png,pretrain,0
6,./pretrain_2048_2/SC-01-0148.svs_12.png,pretrain,0
7,./pretrain_2048_2/SC-01-0139.svs_6.png,pretrain,0
8,./pretrain_2048_2/SC-01-0404.svs_3.png,pretrain,0
9,./pretrain_2048_2/SC-01-0295.svs_2.png,pretrain,0
10,./pretrain_2048_2/SC-01-0108.svs_1.png,pretrain,0
11,./pretrain_2048_2/SC-01-0314.svs_14.png,pretrain,0
12,./pretrain_2048_2/SC-01-0428.svs_12.png,pretrain,0
13,./pretrain_2048_2/SC-01-0329.svs_14.png,pretrain,0
14,./pretrain_2048_2/SC-01-0214.svs_57.png,pretrain,0
15,./pretrain_2048_2/SC-01-0245.svs_13.png,pretrain,0
16,./pretrain_2048_2/SC-01-0286.svs_6.png,pretrain,0
17,./pretrain_2048_2/SC-01-0222.svs_4.png,pretrain,0
18,./pretrain_2048_2/SC-01-0269.svs_38.png,pretrain,0
19,./pretrain_2048_2/SC-01-0424.svs_26.png,pretrain,0
20,./pretrain_2048_2/SC-01-0282.svs_10.png,pretrain,0
21,./pretrain_2048_2/SC-01-0314.svs_5.png,pretrain,0
22,./pretrain_2048_2/SC-01-0443.svs_15.png,pretrain,0
23,./pretrain_2048_2/SC-01-0193.svs_14.png,pretrain,0
24,./pretrain_2048_2/SC-01-0361.svs_5.png,pretrain,0
25,./pretrain_2048_2/SC-01-0418.svs_15.png,pretrain,0
26,./pretrain_2048_2/SC-01-0395.svs_41.png,pretrain,0
27,./pretrain_2048_2/SC-01-0410.svs_3.png,pretrain,0
28,./pretrain_2048_2/SC-01-0241.svs_2.png,pretrain,0
29,./pretrain_2048_2/SC-01-0250.svs_15.png,pretrain,0
30,./pretrain_2048_2/SC-01-0389.svs_7.png,pretrain,0
31,./pretrain_2048_2/SC-01-0172.svs_16.png,pretrain,0
32,./pretrain_2048_2/SC-01-0450.svs_9.png,pretrain,0
33,./pretrain_2048_2/SC-01-0278.svs_10.png,pretrain,0
34,./pretrain_2048_2/SC-01-0294.svs_22.png,pretrain,0
35,./pretrain_2048_2/SC-01-0203.svs_16.png,pretrain,0
36,./pretrain_2048_2/SC-01-0119.svs_17.png,pretrain,0
37,./pretrain_2048_2/SC-01-0436.svs_16.png,pretrain,0
38,./pretrain_2048_2/SC-01-0399.svs_52.png,pretrain,0
39,./pretrain_2048_2/SC-01-0352.svs_22.png,pretrain,0
40,./pretrain_2048_2/SC-01-0226.svs_6.png,pretrain,0
41,./pretrain_2048_2/SC-01-0382.svs_19.png,pretrain,0
42,./pretrain_2048_2/SC-01-0334.svs_16.png,pretrain,0
43,./pretrain_2048_2/SC-01-0404.svs_27.png,pretrain,0
44,./pretrain_2048_2/SC-01-0412.svs_9.png,pretrain,0
45,./pretrain_2048_2/SC-01-0384.svs_19.png,pretrain,0
